face_id,node_ids,adjacent_element_id,adjacent_soil_id,adjacent_material_id,boundary_type
0,0 40 41 1,0,10,mat_soil_010,z_min
1,0 1 401 400,0,10,mat_soil_010,y_min
2,0 400 440 40,0,10,mat_soil_010,x_min
3,1 41 42 2,1,10,mat_soil_010,z_min
4,1 2 402 401,1,10,mat_soil_010,y_min
5,2 42 43 3,2,10,mat_soil_010,z_min
6,2 3 403 402,2,10,mat_soil_010,y_min
7,3 43 44 4,3,10,mat_soil_010,z_min
8,3 4 404 403,3,10,mat_soil_010,y_min
9,4 44 45 5,4,10,mat_soil_010,z_min
10,4 5 405 404,4,10,mat_soil_010,y_min
11,5 45 46 6,5,10,mat_soil_010,z_min
12,5 6 406 405,5,10,mat_soil_010,y_min
13,6 46 47 7,6,10,mat_soil_010,z_min
14,6 7 407 406,6,10,mat_soil_010,y_min
15,7 47 48 8,7,10,mat_soil_010,z_min
16,7 8 408 407,7,10,mat_soil_010,y_min
17,8 48 49 9,8,10,mat_soil_010,z_min
18,8 9 409 408,8,10,mat_soil_010,y_min
19,9 49 50 10,9,10,mat_soil_010,z_min
20,9 10 410 409,9,10,mat_soil_010,y_min
21,10 50 51 11,10,10,mat_soil_010,z_min
22,10 11 411 410,10,10,mat_soil_010,y_min
23,11 51 52 12,11,10,mat_soil_010,z_min
24,11 12 412 411,11,10,mat_soil_010,y_min
25,12 52 53 13,12,10,mat_soil_010,z_min
26,12 13 413 412,12,10,mat_soil_010,y_min
27,13 53 54 14,13,10,mat_soil_010,z_min
28,13 14 414 413,13,10,mat_soil_010,y_min
29,14 54 55 15,14,10,mat_soil_010,z_min
30,14 15 415 414,14,10,mat_soil_010,y_min
31,15 55 56 16,15,10,mat_soil_010,z_min
32,15 16 416 415,15,10,mat_soil_010,y_min
33,16 56 57 17,16,10,mat_soil_010,z_min
34,16 17 417 416,16,10,mat_soil_010,y_min
35,17 57 58 18,17,10,mat_soil_010,z_min
36,17 18 418 417,17,10,mat_soil_010,y_min
37,18 58 59 19,18,10,mat_soil_010,z_min
38,18 19 419 418,18,10,mat_soil_010,y_min
39,19 59 60 20,19,10,mat_soil_010,z_min
40,19 20 420 419,19,10,mat_soil_010,y_min
41,20 60 61 21,20,10,mat_soil_010,z_min
42,20 21 421 420,20,10,mat_soil_010,y_min
43,21 61 62 22,21,10,mat_soil_010,z_min
44,21 22 422 421,21,10,mat_soil_010,y_min
45,22 62 63 23,22,10,mat_soil_010,z_min
46,22 23 423 422,22,10,mat_soil_010,y_min
47,23 63 64 24,23,10,mat_soil_010,z_min
48,23 24 424 423,23,10,mat_soil_010,y_min
49,24 64 65 25,24,10,mat_soil_010,z_min
50,24 25 425 424,24,10,mat_soil_010,y_min
51,25 65 66 26,25,10,mat_soil_010,z_min
52,25 26 426 425,25,10,mat_soil_010,y_min
53,26 66 67 27,26,10,mat_soil_010,z_min
54,26 27 427 426,26,10,mat_soil_010,y_min
55,27 67 68 28,27,10,mat_soil_010,z_min
56,27 28 428 427,27,10,mat_soil_010,y_min
57,28 68 69 29,28,10,mat_soil_010,z_min
58,28 29 429 428,28,10,mat_soil_010,y_min
59,29 69 70 30,29,10,mat_soil_010,z_min
60,29 30 430 429,29,10,mat_soil_010,y_min
61,30 70 71 31,30,10,mat_soil_010,z_min
62,30 31 431 430,30,10,mat_soil_010,y_min
63,31 71 72 32,31,10,mat_soil_010,z_min
64,31 32 432 431,31,10,mat_soil_010,y_min
65,32 72 73 33,32,10,mat_soil_010,z_min
66,32 33 433 432,32,10,mat_soil_010,y_min
67,33 73 74 34,33,10,mat_soil_010,z_min
68,33 34 434 433,33,10,mat_soil_010,y_min
69,34 74 75 35,34,10,mat_soil_010,z_min
70,34 35 435 434,34,10,mat_soil_010,y_min
71,35 75 76 36,35,10,mat_soil_010,z_min
72,35 36 436 435,35,10,mat_soil_010,y_min
73,36 76 77 37,36,10,mat_soil_010,z_min
74,36 37 437 436,36,10,mat_soil_010,y_min
