face_id,node_ids,left_element_id,right_element_id,left_soil_id,right_soil_id,left_material_id,right_material_id
927,2800 2801 2841 2840,2106,2457,10,9,mat_soil_010,mat_soil_009
930,2801 2802 2842 2841,2107,2458,10,9,mat_soil_010,mat_soil_009
932,2802 2803 2843 2842,2108,2459,10,9,mat_soil_010,mat_soil_009
960,2829 2830 2870 2869,2135,2486,10,9,mat_soil_010,mat_soil_009
962,2830 2831 2871 2870,2136,2487,10,9,mat_soil_010,mat_soil_009
964,2831 2832 2872 2871,2137,2488,10,9,mat_soil_010,mat_soil_009
966,2832 2833 2873 2872,2138,2489,10,9,mat_soil_010,mat_soil_009
968,2833 2834 2874 2873,2139,2490,10,9,mat_soil_010,mat_soil_009
970,2834 2835 2875 2874,2140,2491,10,9,mat_soil_010,mat_soil_009
972,2835 2836 2876 2875,2141,2492,10,9,mat_soil_010,mat_soil_009
978,2840 2841 2881 2880,2145,2496,10,9,mat_soil_010,mat_soil_009
980,2841 2842 2882 2881,2146,2497,10,9,mat_soil_010,mat_soil_009
981,2848 2849 2889 2888,2153,2504,10,9,mat_soil_010,mat_soil_009
982,2869 2870 2910 2909,2174,2525,10,9,mat_soil_010,mat_soil_009
983,2870 2871 2911 2910,2175,2526,10,9,mat_soil_010,mat_soil_009
984,2871 2872 2912 2911,2176,2527,10,9,mat_soil_010,mat_soil_009
985,2872 2873 2913 2912,2177,2528,10,9,mat_soil_010,mat_soil_009
986,2873 2874 2914 2913,2178,2529,10,9,mat_soil_010,mat_soil_009
987,2874 2875 2915 2914,2179,2530,10,9,mat_soil_010,mat_soil_009
988,2875 2876 2916 2915,2180,2531,10,9,mat_soil_010,mat_soil_009
989,2876 2877 2917 2916,2181,2532,10,9,mat_soil_010,mat_soil_009
991,2880 2881 2921 2920,2184,2535,10,9,mat_soil_010,mat_soil_009
993,2881 2882 2922 2921,2185,2536,10,9,mat_soil_010,mat_soil_009
994,2888 2889 2929 2928,2192,2543,10,9,mat_soil_010,mat_soil_009
995,2889 2890 2930 2929,2193,2544,10,9,mat_soil_010,mat_soil_009
996,2908 2909 2949 2948,2212,2563,10,9,mat_soil_010,mat_soil_009
997,2909 2910 2950 2949,2213,2564,10,9,mat_soil_010,mat_soil_009
998,2910 2911 2951 2950,2214,2565,10,9,mat_soil_010,mat_soil_009
999,2911 2912 2952 2951,2215,2566,10,9,mat_soil_010,mat_soil_009
1000,2912 2913 2953 2952,2216,2567,10,9,mat_soil_010,mat_soil_009
1001,2913 2914 2954 2953,2217,2568,10,9,mat_soil_010,mat_soil_009
1002,2914 2915 2955 2954,2218,2569,10,9,mat_soil_010,mat_soil_009
1003,2915 2916 2956 2955,2219,2570,10,9,mat_soil_010,mat_soil_009
1004,2916 2917 2957 2956,2220,2571,10,9,mat_soil_010,mat_soil_009
1006,2920 2921 2961 2960,2223,2574,10,9,mat_soil_010,mat_soil_009
1008,2948 2949 2989 2988,2251,2602,10,9,mat_soil_010,mat_soil_009
1009,2949 2950 2990 2989,2252,2603,10,9,mat_soil_010,mat_soil_009
1010,2950 2951 2991 2990,2253,2604,10,9,mat_soil_010,mat_soil_009
1011,2951 2952 2992 2991,2254,2605,10,9,mat_soil_010,mat_soil_009
1012,2952 2953 2993 2992,2255,2606,10,9,mat_soil_010,mat_soil_009
1013,2953 2954 2994 2993,2256,2607,10,9,mat_soil_010,mat_soil_009
1014,2954 2955 2995 2994,2257,2608,10,9,mat_soil_010,mat_soil_009
1015,2955 2956 2996 2995,2258,2609,10,9,mat_soil_010,mat_soil_009
1016,2956 2957 2997 2996,2259,2610,10,9,mat_soil_010,mat_soil_009
1017,2957 2958 2998 2997,2260,2611,10,9,mat_soil_010,mat_soil_009
1020,2988 2989 3029 3028,2290,2641,10,9,mat_soil_010,mat_soil_009
1021,2989 2990 3030 3029,2291,2642,10,9,mat_soil_010,mat_soil_009
1022,2990 2991 3031 3030,2292,2643,10,9,mat_soil_010,mat_soil_009
1023,2991 2992 3032 3031,2293,2644,10,9,mat_soil_010,mat_soil_009
1024,2992 2993 3033 3032,2294,2645,10,9,mat_soil_010,mat_soil_009
1025,2993 2994 3034 3033,2295,2646,10,9,mat_soil_010,mat_soil_009
1026,2994 2995 3035 3034,2296,2647,10,9,mat_soil_010,mat_soil_009
1027,2995 2996 3036 3035,2297,2648,10,9,mat_soil_010,mat_soil_009
1028,2996 2997 3037 3036,2298,2649,10,9,mat_soil_010,mat_soil_009
1029,2997 2998 3038 3037,2299,2650,10,9,mat_soil_010,mat_soil_009
1030,2998 2999 3039 3038,2300,2651,10,9,mat_soil_010,mat_soil_009
1033,3028 3029 3069 3068,2329,2680,10,9,mat_soil_010,mat_soil_009
1034,3029 3030 3070 3069,2330,2681,10,9,mat_soil_010,mat_soil_009
1035,3030 3031 3071 3070,2331,2682,10,9,mat_soil_010,mat_soil_009
1036,3031 3032 3072 3071,2332,2683,10,9,mat_soil_010,mat_soil_009
1037,3032 3033 3073 3072,2333,2684,10,9,mat_soil_010,mat_soil_009
1038,3033 3034 3074 3073,2334,2685,10,9,mat_soil_010,mat_soil_009
1039,3034 3035 3075 3074,2335,2686,10,9,mat_soil_010,mat_soil_009
1040,3035 3036 3076 3075,2336,2687,10,9,mat_soil_010,mat_soil_009
1041,3036 3037 3077 3076,2337,2688,10,9,mat_soil_010,mat_soil_009
1042,3037 3038 3078 3077,2338,2689,10,9,mat_soil_010,mat_soil_009
1043,3038 3039 3079 3078,2339,2690,10,9,mat_soil_010,mat_soil_009
1046,3051 3052 3092 3091,2351,2702,10,9,mat_soil_010,mat_soil_009
1047,3052 3053 3093 3092,2352,2703,10,9,mat_soil_010,mat_soil_009
1048,3067 3068 3108 3107,2367,2718,10,9,mat_soil_010,mat_soil_009
1049,3068 3069 3109 3108,2368,2719,10,9,mat_soil_010,mat_soil_009
1050,3069 3070 3110 3109,2369,2720,10,9,mat_soil_010,mat_soil_009
1051,3070 3071 3111 3110,2370,2721,10,9,mat_soil_010,mat_soil_009
1052,3071 3072 3112 3111,2371,2722,10,9,mat_soil_010,mat_soil_009
1053,3072 3073 3113 3112,2372,2723,10,9,mat_soil_010,mat_soil_009
1054,3076 3077 3117 3116,2376,2727,10,9,mat_soil_010,mat_soil_009
1055,3077 3078 3118 3117,2377,2728,10,9,mat_soil_010,mat_soil_009
1056,3078 3079 3119 3118,2378,2729,10,9,mat_soil_010,mat_soil_009
1059,3091 3092 3132 3131,2390,2741,10,9,mat_soil_010,mat_soil_009
1060,3092 3093 3133 3132,2391,2742,10,9,mat_soil_010,mat_soil_009
1061,3107 3108 3148 3147,2406,2757,10,9,mat_soil_010,mat_soil_009
1062,3108 3109 3149 3148,2407,2758,10,9,mat_soil_010,mat_soil_009
1063,3109 3110 3150 3149,2408,2759,10,9,mat_soil_010,mat_soil_009
1064,3110 3111 3151 3150,2409,2760,10,9,mat_soil_010,mat_soil_009
1065,3111 3112 3152 3151,2410,2761,10,9,mat_soil_010,mat_soil_009
1066,3112 3113 3153 3152,2411,2762,10,9,mat_soil_010,mat_soil_009
1067,3117 3118 3158 3157,2416,2767,10,9,mat_soil_010,mat_soil_009
1068,3118 3119 3159 3158,2417,2768,10,9,mat_soil_010,mat_soil_009
1099,3148 3149 3189 3188,2446,2797,10,9,mat_soil_010,mat_soil_009
1101,3149 3150 3190 3189,2447,2798,10,9,mat_soil_010,mat_soil_009
1103,3150 3151 3191 3190,2448,2799,10,9,mat_soil_010,mat_soil_009
1105,3151 3152 3192 3191,2449,2800,10,9,mat_soil_010,mat_soil_009
1107,3152 3153 3193 3192,2450,2801,10,9,mat_soil_010,mat_soil_009
1113,3157 3158 3198 3197,2455,2806,10,9,mat_soil_010,mat_soil_009
1115,3158 3159 3199 3198,2456,2807,10,9,mat_soil_010,mat_soil_009
1122,2842 3242 3243 2843,2459,2498,9,10,mat_soil_009,mat_soil_010
1123,2803 2843 3243 3203,2459,2460,9,10,mat_soil_009,mat_soil_010
1124,3203 3204 3244 3243,2460,2811,10,9,mat_soil_010,mat_soil_009
1126,3204 3205 3245 3244,2461,2812,10,9,mat_soil_010,mat_soil_009
1128,3205 3206 3246 3245,2462,2813,10,9,mat_soil_010,mat_soil_009
1130,3206 3207 3247 3246,2463,2814,10,9,mat_soil_010,mat_soil_009
1132,3207 3208 3248 3247,2464,2815,10,9,mat_soil_010,mat_soil_009
1134,3208 3209 3249 3248,2465,2816,10,9,mat_soil_010,mat_soil_009
1136,2848 3248 3249 2849,2465,2504,10,9,mat_soil_010,mat_soil_009
1137,3209 3210 3250 3249,2466,2817,10,9,mat_soil_010,mat_soil_009
1139,3210 3211 3251 3250,2467,2818,10,9,mat_soil_010,mat_soil_009
1145,3215 3216 3256 3255,2472,2823,10,9,mat_soil_010,mat_soil_009
1147,3216 3217 3257 3256,2473,2824,10,9,mat_soil_010,mat_soil_009
1149,3217 3218 3258 3257,2474,2825,10,9,mat_soil_010,mat_soil_009
1158,3225 3226 3266 3265,2482,2833,10,9,mat_soil_010,mat_soil_009
1160,3226 3227 3267 3266,2483,2834,10,9,mat_soil_010,mat_soil_009
1162,3227 3228 3268 3267,2484,2835,10,9,mat_soil_010,mat_soil_009
1164,3228 3229 3269 3268,2485,2836,10,9,mat_soil_010,mat_soil_009
1166,2829 2869 3269 3229,2485,2486,10,9,mat_soil_010,mat_soil_009
1174,2836 2876 3276 3236,2492,2493,9,10,mat_soil_009,mat_soil_010
1175,3236 3237 3277 3276,2493,2844,10,9,mat_soil_010,mat_soil_009
1177,2876 3276 3277 2877,2493,2532,10,9,mat_soil_010,mat_soil_009
1178,3237 3238 3278 3277,2494,2845,10,9,mat_soil_010,mat_soil_009
1180,3238 3239 3279 3278,2495,2846,10,9,mat_soil_010,mat_soil_009
1184,2842 2882 3282 3242,2497,2498,9,10,mat_soil_009,mat_soil_010
1185,3242 3243 3283 3282,2498,2849,10,9,mat_soil_010,mat_soil_009
1186,3243 3244 3284 3283,2499,2850,10,9,mat_soil_010,mat_soil_009
1187,3244 3245 3285 3284,2500,2851,10,9,mat_soil_010,mat_soil_009
1188,3245 3246 3286 3285,2501,2852,10,9,mat_soil_010,mat_soil_009
1189,3246 3247 3287 3286,2502,2853,10,9,mat_soil_010,mat_soil_009
1190,3247 3248 3288 3287,2503,2854,10,9,mat_soil_010,mat_soil_009
1191,2848 2888 3288 3248,2503,2504,10,9,mat_soil_010,mat_soil_009
1192,2849 2889 3289 3249,2504,2505,9,10,mat_soil_009,mat_soil_010
1193,3249 3250 3290 3289,2505,2856,10,9,mat_soil_010,mat_soil_009
1194,2889 3289 3290 2890,2505,2544,10,9,mat_soil_010,mat_soil_009
1195,3250 3251 3291 3290,2506,2857,10,9,mat_soil_010,mat_soil_009
1196,3251 3252 3292 3291,2507,2858,10,9,mat_soil_010,mat_soil_009
1197,3254 3255 3295 3294,2510,2861,10,9,mat_soil_010,mat_soil_009
1198,3255 3256 3296 3295,2511,2862,10,9,mat_soil_010,mat_soil_009
1199,3256 3257 3297 3296,2512,2863,10,9,mat_soil_010,mat_soil_009
1200,3257 3258 3298 3297,2513,2864,10,9,mat_soil_010,mat_soil_009
1201,3265 3266 3306 3305,2521,2872,10,9,mat_soil_010,mat_soil_009
1202,3266 3267 3307 3306,2522,2873,10,9,mat_soil_010,mat_soil_009
1203,3267 3268 3308 3307,2523,2874,10,9,mat_soil_010,mat_soil_009
1204,3268 3269 3309 3308,2524,2875,10,9,mat_soil_010,mat_soil_009
1205,2908 3308 3309 2909,2524,2563,10,9,mat_soil_010,mat_soil_009
1206,2869 2909 3309 3269,2524,2525,10,9,mat_soil_010,mat_soil_009
1207,2877 2917 3317 3277,2532,2533,9,10,mat_soil_009,mat_soil_010
1208,3277 3278 3318 3317,2533,2884,10,9,mat_soil_010,mat_soil_009
1209,3278 3279 3319 3318,2534,2885,10,9,mat_soil_010,mat_soil_009
1212,2921 3321 3322 2922,2536,2575,9,10,mat_soil_009,mat_soil_010
1213,2882 2922 3322 3282,2536,2537,9,10,mat_soil_009,mat_soil_010
1214,3282 3283 3323 3322,2537,2888,10,9,mat_soil_010,mat_soil_009
1215,3283 3284 3324 3323,2538,2889,10,9,mat_soil_010,mat_soil_009
