soil_id,soil_name,material_id,material_status
0,素填土,mat_soil_000,placeholder
1,砂质粉土,mat_soil_001,placeholder
2,粉砂夹粉土,mat_soil_002,placeholder
3,砂质粉土夹淤泥质粉质黏土,mat_soil_003,placeholder
4,淤泥质粉质黏土,mat_soil_004,placeholder
5,黏土,mat_soil_005,placeholder
6,粉质黏土,mat_soil_006,placeholder
7,细砂,mat_soil_007,placeholder
8,圆砾,mat_soil_008,placeholder
9,强风化泥质粉砂岩,mat_soil_009,placeholder
10,中风化泥质粉砂岩,mat_soil_010,placeholder
11,杂填土,mat_soil_011,placeholder
12,淤泥质粉质黏土夹粉土,mat_soil_012,placeholder
13,含砂粉质黏土,mat_soil_013,placeholder
14,全风化泥质粉砂岩,mat_soil_014,placeholder
15,中砂,mat_soil_015,placeholder
16,粉细砂,mat_soil_016,placeholder
